"","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_9","id_10","id_11","id_12","type_1","type_2","type_3","type_4","type_5","type_6","type_7","type_8","type_9","type_10","type_11","type_12"
"1","Larry","Jarrett","Evelyn","Anthony","Dick","Harper","Harold","Hudson","Rodrick","Cooper","Axel","Charles","_tree","_music","_test","_snack","_painting","_gas","_ordering","_car","_dressed","_assignment","_cleaning","_lightbulb"
"2","Harold","Alphonso","Cooper","Hudson","Carter","Axel","Delilah","Alfonso","Evelyn","Abigail","Audrey","Rodrick","_ordering","_lightbulb","_painting","_car","_dressed","_gas","_music","_assignment","_tree","_test","_cleaning","_snack"
"3","Abigail","Rodrick","Ellie","Dane","Larry","Cooper","Delilah","Jarrett","Dick","Alphonso","Nova","Axel","_ordering","_painting","_music","_dressed","_car","_cleaning","_snack","_assignment","_tree","_test","_lightbulb","_gas"
"4","Abigail","Susan","Larry","Charles","Axel","Alfonso","Bryan","Cooper","Alphonso","Hudson","Efren","Harper","_tree","_painting","_snack","_ordering","_assignment","_dressed","_cleaning","_car","_lightbulb","_music","_gas","_test"
"5","Ayla","Donna","Anthony","William","Alfonso","Carter","Susan","Harold","Dane","Axel","Delilah","Dick","_music","_assignment","_cleaning","_car","_tree","_snack","_gas","_ordering","_test","_dressed","_painting","_lightbulb"
"6","Delilah","Abigail","Bryan","Susan","Dick","Donna","Ayla","Larry","Harper","Efren","Anthony","Alfonso","_snack","_test","_ordering","_tree","_music","_lightbulb","_assignment","_gas","_painting","_cleaning","_dressed","_car"
"7","Audrey","Dick","Efren","Donna","Ellie","Anthony","William","Susan","Dane","Cooper","Axel","Harold","_gas","_tree","_snack","_lightbulb","_cleaning","_dressed","_painting","_car","_assignment","_music","_ordering","_test"
"8","Axel","Ayla","Nova","William","Dick","Ellie","Charles","Evelyn","Abigail","Rodrick","Alfonso","Donna","_tree","_cleaning","_test","_ordering","_gas","_dressed","_painting","_car","_snack","_music","_assignment","_lightbulb"
"9","Jarrett","Harper","Bret","Alfonso","Abigail","Donna","Cooper","Dane","Ayla","Harold","William","Anthony","_test","_gas","_cleaning","_car","_tree","_lightbulb","_dressed","_music","_painting","_snack","_assignment","_ordering"
"10","Harold","Dick","Alfonso","Rodrick","Nova","Bret","Abigail","Ayla","Bryan","Efren","Audrey","Dane","_music","_snack","_ordering","_cleaning","_dressed","_test","_lightbulb","_painting","_gas","_car","_assignment","_tree"
